"emp_no","first_name","last_name","gender","salary"
10372,"Anneli","Frijda","F",54505
10001,"Georgi","Facello","M",60117
10004,"Chirstian","Koblick","M",40054
10009,"Sumant","Peac","F",60929
10018,"Kazuhide","Peha","F",55881
10035,"Alain","Chappelet","M",41538
10053,"Sanjiv","Zschoche","F",67854
10058,"Berhard","McFarlin","M",52787
10066,"Kwee","Schusler","M",69736
10067,"Claudi","Stavenow","M",44642
10070,"Reuven","Garigliano","M",55999
10072,"Hironoby","Sidou","F",40000
10076,"Erez","Ritzmann","F",47319
10088,"Jungsoon","Syrzycki","F",65957
10100,"Hironobu","Haraldson","F",54398
10103,"Akemi","Birch","M",68158
10126,"Kayoko","Valtorta","M",40000
10129,"Armond","Peir","M",40000
10130,"Nishit","Casperson","M",40000
10134,"Diederik","Siprelle","M",40000
10138,"Perry","Shimshoni","M",53574
10150,"Zhenbing","Perng","F",70122
10153,"Heekeun","Majewski","M",54246
10157,"Nigel","Aloisi","M",48770
10198,"Pranav","Furedi","M",44076
10215,"Xiaobin","Duclos","M",43944
10224,"Leon","Trogemann","M",40000
10233,"Lein","Vendrig","F",40000
10258,"Basil","Ishibashi","F",66280
10272,"Yishai","Cannane","M",58070
10282,"Hercules","Benzmuller","M",40000
10283,"Kauko","Birjandi","M",40000
10326,"Masali","Czap","F",40000
10340,"Djelloul","Laventhal","M",68132
10347,"Pradeep","Kaminger","M",42199
10355,"Satyanarayana","Cochrane","M",70434
10356,"Vasilis","Standera","M",45376
10364,"Nakhoon","Dengi","M",51401
10564,"Jianhao","Thisen","M",46660
10387,"Parto","Wrigley","F",61374
10396,"Sibyl","Rahier","M",40393
10402,"Volkmar","Ebeling","M",40000
10404,"Prodip","Rosti","F",51647
10426,"Arunas","Luce","F",65757
10623,"Aleksander","Danlos","F",60268
10628,"Krisda","Krogh","M",41650
10631,"Inderjeet","Chaudhuri","M",40000
10642,"Hirochika","Narlikar","M",40000
10653,"Otmar","Feinberg","M",40000
10429,"Martien","Improta","F",40000
10432,"Hisao","Tiemann","F",40000
10451,"Bodh","Ranta","F",46275
10671,"Parviz","Rebaine","M",74037
10676,"Valeri","Danley","F",58226
10453,"Tsvetan","Matzel","F",40000
10693,"Berhard","Daescu","F",40000
10463,"Ung","Zaiane","M",66480
10702,"Bader","Szemeredi","M",46581
10486,"Amstein","Kossowski","F",71692
10718,"Adib","Rullman","M",75473
10726,"Zita","Minakawa","F",46315
10494,"Yakkov","Servieres","F",50094
10504,"Xiong","Varker","M",43931
10734,"Sachar","Erdi","M",47377
10512,"Udi","Gihr","M",40000
10522,"Marke","Cesareni","F",40000
10745,"Poorav","Ranze","F",40000
10749,"King","Brendel","M",60829
10767,"Monique","Doering","F",40651
10768,"Ishfaq","Candan","M",65717
10548,"Ramalingam","Gunderson","M",90631
10778,"Selwyn","Merey","M",64996
10791,"Tadahiko","Sgarro","M",40000
10795,"Supot","Naudin","M",84206
10927,"Gal","Scallan","M",51819
10808,"Chenxi","Leijenhorst","M",40000
10835,"Tomoyuki","Kermarrec","M",40000
10836,"Jianhua","Leivant","F",65502
10844,"Dipayan","Koprowski","M",40000
10847,"Theirry","Danley","M",40000
10848,"Fen","Bratsberg","F",50475
10936,"Mountaz","Schicker","F",40000
10878,"Lakshmi","Deville","M",72102
10879,"Muzhong","Chleq","F",65651
10883,"Shimshon","Champarnaud","M",40000
10943,"Berna","Skafidas","M",45890
10965,"Eckart","Braunschweig","M",61654
10909,"Georgi","Atchley","M",80935
10921,"Mara","Bahi","F",72601
10924,"Hironoby","Atchley","F",84783
10969,"Premal","Noriega","M",40000
10974,"Muneo","Papsdorf","M",56005
11112,"Boaz","Mukaidono","M",40000
11113,"Shahab","Peng","F",66401
10986,"Masako","Schiper","M",43900
11121,"Vugranam","Kakkad","F",40000
11133,"Nalini","Azulay","M",40000
11134,"Sachar","Rajcani","F",58731
10988,"Chinya","Deyuan","M",54174
11137,"Hugh","Luca","M",40000
11139,"Bogdan","Homond","F",63596
11146,"Ishfaq","Masand","F",96019
11148,"Zhanqiu","Botman","F",56344
10989,"Sumali","Candan","F",46406
11162,"Kauko","Narlikar","F",69873
10990,"Shin","Foote","M",40000
11180,"Mitsuyuki","Bojadziev","F",40000
11009,"Alper","Axelband","F",75111
11197,"Tadahiro","Fordan","M",88741
11204,"Diederik","Covnot","M",40000
11207,"Saeed","Gips","F",49728
11208,"Saniya","Valtorta","F",83660
11211,"Yurij","Rissland","M",72668
11217,"Kellie","Mawatari","M",40000
11232,"Hidefumi","Crelier","M",43863
11240,"Kiam","Condotta","M",61739
11012,"Taegyun","Speckmann","F",72092
11249,"Randi","Cyre","M",43324
11251,"Bezalel","Chinal","M",69432
11019,"Leon","Huttel","M",69387
11268,"Aimee","Petersohn","F",40000
11021,"Srinidhi","Henders","F",62670
11275,"Hitomi","Eppinger","F",58382
11027,"Remzi","Cappello","M",40000
11031,"Ottavia","Walstra","M",71654
11290,"Visit","Dredge","M",65034
11295,"Abdelkader","Lanzelotte","M",66622
11037,"Lansing","Maliniak","M",40000
11038,"Jinya","Beidas","M",44993
11042,"Gou","Breugel","F",40000
11319,"Pranas","Marrakchi","F",40000
11320,"Atilio","McAlpine","M",45118
11322,"Nathalie","Pocchiola","F",43021
11324,"Kauko","Billingsley","F",54288
11048,"Jaques","Demke","M",65697
11050,"Elvis","Katiyar","M",52251
11338,"Kwangsub","Hanratty","M",82210
11339,"Flemming","Massonet","M",40000
11347,"Anneli","Jonsson","M",41524
11051,"Przemyslawa","Erol","F",40000
11365,"Toshimi","Shinomoto","M",56463
11070,"Adib","Raney","M",40000
11376,"Valery","Suomi","M",46964
11380,"Kenroku","Pelc","M",53345
11385,"Shiv","Ullian","M",40000
11386,"Alselm","Assaf","F",47726
11393,"Junsik","Junot","M",40000
11398,"Oscar","Peir","M",44625
11404,"Bedrich","Borovoy","M",42907
11415,"Sanjiv","Anido","M",40000
11421,"Josyula","Msuda","F",52416
11441,"Marlo","Aingworth","M",67352
11449,"Kotesh","Asser","M",61434
11459,"Duke","Suomi","M",40000
11469,"Guttorm","Giaccio","M",44625
11506,"Rance","Picel","F",89747
11509,"Aleksander","Feldhoffer","M",40000
11513,"Otmar","Mahnke","M",82525
11515,"Ulf","Basawa","F",70182
11518,"Jinxi","Oxman","M",40000
11524,"Xiadong","Standera","M",41081
11527,"Alagu","Boyle","M",60212
11528,"Zito","Dolinsky","M",44026
11081,"Barry","Boyle","M",65686
11537,"DAIDA","Pehl","M",96023
11554,"Subhash","Taubenfeld","M",46065
11555,"Kotesh","Perfilyeva","M",40000
11567,"Teiji","Mitzlaff","M",86261
11568,"Martins","Fujisaki","M",54673
11085,"Hailing","Thummel","M",66437
11603,"Herb","Swen","F",69180
11607,"Tomokazu","Foong","F",49584
11100,"Berna","Cochrane","M",40000
11615,"Shem","Isaak","F",46591
11624,"Adil","Gammage","M",42001
11628,"Fan","Malinowski","M",43966
11640,"Valeri","Coorg","M",52520
11647,"Magy","Nitsche","M",40000
11660,"Gill","Stenning","F",65758
11106,"Aris","Iwayama","F",71446
11673,"Henk","Felder","F",40000
11676,"Valeri","Ferriere","F",43310
11853,"Zeljko","Kusakabe","F",61941
11681,"Fumitake","Benzmuller","F",40000
11684,"Oksana","Gide","F",68753
11696,"Dante","Rothe","M",51633
11732,"Sanjoy","Ranft","F",40000
11735,"Amalendu","Picci","M",40000
11857,"Divier","Farrag","F",94805
11746,"Koichi","Marrakchi","F",55951
11751,"Jiafu","Emiris","M",40000
11864,"Pradeep","Kriebel","F",52517
11764,"Sanjay","Anick","F",64875
11769,"Chandrasekaran","Lampe","M",40000
11772,"Gaurav","Penz","F",61295
11871,"Nalini","Sommen","M",67424
11797,"Chenxi","Thambidurai","M",88050
11810,"Amabile","Bhattacharjee","M",41256
11817,"Niranjan","Markovitch","M",50638
11872,"Cheong","Riexinger","M",43159
11832,"Arto","Zlotek","M",40000
11894,"Mitchel","Validov","M",56198
11844,"Shawna","Demeyer","M",78049
12036,"Mads","Ratzlaff","M",67143
12037,"Arunas","Katzenelson","M",47805
11897,"Cordelia","Setlzner","M",80049
12050,"Yuchang","Tchuente","F",46704
11906,"Hideo","Boguraev","F",81324
12062,"Margareta","Worfolk","M",44199
12069,"Ayonca","Burnard","M",51928
12070,"Ger","Shokrollahi","M",50233
12076,"Karlis","Siprelle","F",75381
12082,"Xinan","Yamaashi","M",72118
11915,"Miomir","Mawatari","M",58042
12089,"Bilhanan","Socorro","M",46288
12099,"Nobuyoshi","Kuzuoka","M",104610
12112,"Satyanarayana","Avouris","M",76538
12122,"Satoru","Krone","F",46398
12123,"Xiahua","Syrzycki","F",64879
12125,"Shounak","Erman","F",41215
11931,"Gunilla","Chiodo","F",73369
12149,"Suebskul","Grandbois","M",109934
11933,"Basil","Erman","M",56130
11949,"Martijn","Harbusch","M",40000
12159,"Shem","Perly","M",61210
12165,"Xiaobin","Maquelin","F",41951
12183,"Harngdar","Iisaku","M",40000
11983,"Jaana","Hedayat","M",40000
12192,"Feiyu","Klyachko","F",41625
12205,"Sushant","Rossi","M",40000
12206,"Barton","Janetzko","F",40000
12218,"Yaghout","Strooper","M",40000
11993,"Marit","Dalphin","M",56505
12221,"Vincent","Melter","M",56736
12222,"Abdelwaheb","Holburn","F",55840
12223,"Niteen","Koyama","F",54459
12247,"Subbu","Penttonen","F",59183
12249,"Eldridge","Sadowski","M",70099
12256,"Guadalupe","Reghbati","F",40000
12264,"Mart","Pagter","M",51816
12270,"Shakhar","Kornyak","M",52840
12272,"Behnaam","Grandbois","F",43811
12308,"Mototsugu","Cronau","M",58741
12311,"Susanne","Lubachevsky","M",40000
12327,"DAIDA","Bruckman","M",67449
12341,"Rasiah","Luga","M",40000
12343,"Sorina","Slaats","M",52134
12365,"Kamakshi","Bisiani","M",40000
12373,"Mooi","Driscoll","F",75986
12395,"Sanjit","Felder","M",66909
12399,"Mihalis","Luga","M",85582
12011,"Zhilian","Coorg","F",85833
12411,"Shao","Ibel","M",97610
12413,"Hugh","Gadepally","F",53179
12596,"Breannda","Roisin","M",40000
12417,"Dannz","Spelt","F",67342
12422,"Berhard","Demos","F",71376
12454,"Kerryn","Farris","F",41347
12464,"Shai","Milicic","F",50448
12475,"Filipe","Roison","M",40000
12487,"Mona","Reghbati","F",40000
12489,"Arnould","Munck","F",63306
12490,"Jackson","Muchinsky","F",40000
12497,"Stein","Penz","M",81191
12501,"Morrie","Matheson","F",76082
12504,"Adly","Rosaz","F",40000
12514,"Tomofumi","Melter","M",54241
12528,"Conor","Cincotta","F",40000
12534,"Yongmao","Gerlach","M",66715
12541,"Shih","Nanard","M",93105
12542,"Kazuhide","Bouloucos","F",44176
12551,"Jeane","Tzvieli","M",40000
12553,"Aral","Vesna","M",40000
12557,"Stafford","Kopetz","M",41840
12589,"Anoosh","Chleq","M",59441
12601,"Ghassan","Simkin","M",41714
12790,"Gunilla","Perl","F",87760
12795,"Masoud","Fordan","M",56969
12798,"Lillian","Beeson","F",81145
12803,"Gad","Boissier","M",91789
12608,"Nectarios","Mondadori","M",40000
12635,"Xinyu","Restivo","F",40000
12815,"Sushant","Junot","M",65073
12819,"Mountaz","Gubsky","M",48455
