"emp_no","first_name","last_name","from_date","title","salary","to_date"
10001,"Georgi","Facello","1986-06-26","Senior Engineer",60117,"9999-01-01"
10004,"Chirstian","Koblick","1995-12-01","Senior Engineer",40054,"9999-01-01"
10009,"Sumant","Peac","1995-02-18","Senior Engineer",60929,"9999-01-01"
10018,"Kazuhide","Peha","1995-04-03","Senior Engineer",55881,"9999-01-01"
10035,"Alain","Chappelet","1996-09-05","Senior Engineer",41538,"9999-01-01"
10053,"Sanjiv","Zschoche","1994-11-13","Senior Staff",67854,"9999-01-01"
10058,"Berhard","McFarlin","1988-04-25","Senior Staff",52787,"9999-01-01"
10066,"Kwee","Schusler","1998-02-25","Senior Engineer",69736,"9999-01-01"
10067,"Claudi","Stavenow","1996-03-03","Senior Engineer",44642,"9999-01-01"
10070,"Reuven","Garigliano","1985-10-14","Technique Leader",55999,"9999-01-01"
10072,"Hironoby","Sidou","1995-05-21","Senior Engineer",40000,"9999-01-01"
10076,"Erez","Ritzmann","1996-07-15","Senior Engineer",47319,"9999-01-01"
10088,"Jungsoon","Syrzycki","1993-09-02","Senior Staff",65957,"9999-01-01"
10100,"Hironobu","Haraldson","1994-09-21","Senior Staff",54398,"9999-01-01"
10103,"Akemi","Birch","1998-01-12","Engineer",68158,"9999-01-01"
10126,"Kayoko","Valtorta","1991-09-08","Senior Staff",40000,"9999-01-01"
10129,"Armond","Peir","1996-01-16","Technique Leader",40000,"9999-01-01"
10130,"Nishit","Casperson","1988-06-21","Senior Engineer",40000,"9999-01-01"
10134,"Diederik","Siprelle","1994-12-12","Senior Engineer",40000,"9999-01-01"
10138,"Perry","Shimshoni","2001-03-03","Senior Engineer",53574,"9999-01-01"
10150,"Zhenbing","Perng","1995-11-16","Senior Engineer",70122,"9999-01-01"
10153,"Heekeun","Majewski","2000-01-08","Assistant Engineer",54246,"9999-01-01"
10157,"Nigel","Aloisi","1997-12-10","Senior Engineer",48770,"9999-01-01"
10198,"Pranav","Furedi","1993-08-31","Senior Engineer",44076,"9999-01-01"
10215,"Xiaobin","Duclos","1991-11-23","Senior Staff",43944,"9999-01-01"
10224,"Leon","Trogemann","1996-01-09","Senior Engineer",40000,"9999-01-01"
10233,"Lein","Vendrig","2000-04-28","Senior Staff",40000,"9999-01-01"
10258,"Basil","Ishibashi","1997-05-16","Senior Engineer",66280,"9999-01-01"
10272,"Yishai","Cannane","1997-10-23","Staff",58070,"9999-01-01"
10282,"Hercules","Benzmuller","2001-05-02","Engineer",40000,"9999-01-01"
10283,"Kauko","Birjandi","1995-05-26","Senior Engineer",40000,"9999-01-01"
10326,"Masali","Czap","1998-09-02","Staff",40000,"9999-01-01"
10340,"Djelloul","Laventhal","1993-03-30","Senior Staff",68132,"9999-01-01"
10347,"Pradeep","Kaminger","1998-02-20","Staff",42199,"9999-01-01"
